,,,,,,,,,,,,
,blade_name,code,brand,class,Speed,control,weight,plies,thickness,handle,combo price,price
,DHS TG7-SP,SCTSP,DHS,OFF+,98,56,95,7w,6.2,FL,,$139.95
,DHS TG7-CP2,SCTC2,DHS,OFF-,86,68,94,7w,5.8,FL,,$119.95
,DHS TG7-P2,SCTP2,DHS,OFF,87,67,93,7w,6.1,FL,,$79.95
,Donic Waldner Legend Carbon,SDWLC,Donic,OFF,93,66,85,"5w, 2c",6.3,"FL, ST",,$74.95
,Donic Persson Seven,SDPE7,Donic,OFF-,80,73,85,7w,5.9,"FL, AN, ST",,$49.95
,Donic Baum Esprit,SDBES,Donic,OFF,89,61,89,"5w, 2c",6.1,"FL, ST",,$65.95
,Yasaka Sweden Defensive,SYSDF,Yasaka,DEF,63,90,80,5w,5.2,"FL, AN, ST",,$47.95
,Stiga Offensive CR,SSOFFCN,Stiga,OFF-,85,71,81,5w,5.4,"FL, AN, ST",,$59.95
,Dr. Neubauer World Champion Carbon,SUWCC,Dr. Neubauer,OFF-,92,65,80,"5w, 2c",8,"FL, AN, ST",,$74.95
,Dr. Neubauer Jackpot,SUJKP,Dr. Neubauer,ALL,82,76,82,5w,7,"FL, AN, ST",,$74.95
,Dr. Neubauer Matador,SUMAT,Dr. Neubauer,OFF-,90,68,88,7w,6,"FL, AN, ST",,$64.95
,Tibhar Texo C7,STTEC,Tibhar,OFF,91,65,85,"5w, 2c",5.7,"FL, AN, ST",,$60.95
,Tibhar Texo OFF,STTEO,Tibhar,OFF-,87,66,85,6w,5.8,"FL, AN, ST",,$39.95
,Nittaku Rising 2,SNRI2,Nittaku,ALL,76,78,75,5w,5.6,FL,$104.95,$39.95
,Nittaku Kasumi Special,SNKSP,Nittaku,OFF,90,70,85,"5w, 2c",5.5,"FL, ST",,$199.95
,Nittaku Latika Carbon,SNLAC,Nittaku,OFF-,88,77,85,"5w, 2c",5.5,"FL, ST",,$179.95
,Nittaku Rutis Power,SNRPO,Nittaku,OFF+,95,60,87,"3w, 2c",5.8,"FL, ST",,$119.95
,Nittaku Adelie,SNADE,Nittaku,OFF,89,61,85,7w,6.2,"FL, ST",,$144.95
,Andro Ligna Tour OFF+,SALTO,Andro,OFF+,95,62,85,5w,6.2,"FL, ST",,$96.95
,Andro Ligna OFF+,SALOP,Andro,OFF+,96,62,85,5w,6.5,"FL, ST",,$108.95
,Andro Ligna OFF,SALOF,Andro,OFF,91,64,85,"5w, 2f",6,"FL, ST",,$104.95
,Nittaku Flame Carbon,SNFLC,Nittaku,OFF+,96,60,85,"5w, 2c/k",5.9,FL,,$99.95
,Xiom Stradivarius,SXSTV,Xiom,OFF,91,64,85,"5w, 2c/a",5.8,"FL, ST",,$99.95
,Xiom Zetro Quad,SXZEQ,Xiom,OFF,93,63,92,"5w, 2c, 2z",7,"FL, ST",,$114.95
,Xiom V1,SXV1C,Xiom,OFF-,88,65,85,"5w, 2c",5.4,"FL, ST",,$84.95
,Xiom V1 Quad,SXV1Q,Xiom,OFF+,95,62,88,"5w, 2c, 2z",5.6,"FL, ST",,$109.95
,Nittaku Tenaly Original,SNTEN,Nittaku,OFF,89,64,90,5w,6.5,Ergo,,$89.95
,Nittaku Tenaly Acoustic,SNTEA,Nittaku,OFF,86,67,90,5w,5.7,Ergo,,$169.95
,Nittaku Tenaly Feruku,SNTEF,Nittaku,OFF,90,67,82,"3w, 2k",6.7,Ergo,,$174.95
,Nittaku Tenaly Carbon,SNTEC,Nittaku,OFF,91,66,85,"5w, 2c",5.6,Ergo,,$109.95
,Donic Ovtcharov Senso V1,SDOV1,Donic,OFF+,95,64,90,7w,6.1,"FL, AN, ST",$123.95,$58.95
,Juic Duo,SJDUO,Juic,Combination,83/75,67/75,85,"5w, 2t",5.8,"FL, ST",,$89.95
,Xiom Ignito,SXIGN,Xiom,OFF,94,61,88,"3w, 2c",6.5,"FL, ST",,$69.95
,Tibhar Balsa SGS,STBAS,Tibhar,ALL+,78,78,75,5w,7.3,"FL, AN, ST",,$48.95
,Tibhar Samsonov Alpha SGS,STSSG,Tibhar,OFF-,87,68,85,5w,6.2,"FL, AN, ST",,$54.95
,Stiga Offensive NCT,SSNOFN,Stiga,OFF,89,69,83,5w,6.1,"FL, AN, ST",,$69.95
,Stiga Allround NCT,SSNALN,Stiga,ALL+,79,77,75,5w,5.8,"FL, ST",,$51.95
,Tibhar Sigma Sensitec,STSIG,Tibhar,OFF,95,60,85,5w,7.1,"FL, AN, ST",,$49.95
,Tibhar Xeon Sensitec,STXEO,Tibhar,OFF-,88,74,85,5w,6.1,"FL, AN, ST",,$39.95
,Donic Bloodwood 7 Senso,SDBL7,Donic,OFF+,95,60,90,7w,6.5,"FL, AN, ST",,$54.95
,Juic DryHeat,SJDRY,Juic,ALL+,80,78,85,5w,6.3,"FL, ST",,$69.95
,Juic Brown Carbon,SJBRO,Juic,OFF-,84,72,83,"5w, 2c",7.5,"FL, ST",,$85.95
